hs6_code,hs4_code,hs6_title,category,product_description
010612,0106,"Mammals; live, whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",Mammals,"Live bottlenose dolphin (Tursiops truncatus), juvenile"
010612,0106,"Mammals; live, whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",Mammals,"Live Caribbean manatee (Trichechus spp.), subadult"
010612,0106,"Mammals; live, whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",Mammals,"Live harbor porpoise, adult"
010613,0106,"Mammals; live, camels and other camelids (Camelidae)",Mammals,Live alpaca juvenile
010613,0106,"Mammals; live, camels and other camelids (Camelidae)",Mammals,"Live llama (camelid), adult"
010613,0106,"Mammals; live, camels and other camelids (Camelidae)",Mammals,"Live dromedary camel, adult"
010614,0106,"Mammals; live, rabbits and hares",Mammals,"Live European hare, adult"
010614,0106,"Mammals; live, rabbits and hares",Mammals,"Live young rabbit kit, unweaned"
010614,0106,"Mammals; live, rabbits and hares",Mammals,"Live domestic rabbit, adult"
010619,0106,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",Mammals,"Live squirrel, captive‑bred"
010619,0106,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",Mammals,"Live ferret, domesticated, adult"
010619,0106,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",Mammals,"Live hedgehog, adult"
010620,0106,Reptiles; live (including snakes and turtles),Reptiles,"Live freshwater turtle, captive‑bred"
010620,0106,Reptiles; live (including snakes and turtles),Reptiles,Live green tree python (Morelia viridis)
010620,0106,Reptiles; live (including snakes and turtles),Reptiles,"Live boa constrictor, adult"
010631,0106,"Birds; live, birds of prey",Birds,"Live kestrel, juvenile"
010631,0106,"Birds; live, birds of prey",Birds,"Live hawk (bird of prey), adult"
010631,0106,"Birds; live, birds of prey",Birds,"Live falcon, trained specimen"
010632,0106,"Birds; live, Psittaciformes",Birds,"Live African grey parrot (Psittaciformes), adult"
010632,0106,"Birds; live, Psittaciformes",Birds,"Live macaw, captive‑bred"
010632,0106,"Birds; live, Psittaciformes",Birds,"Live cockatoo, pet bird"
010633,0106,"Birds; live, ostriches; emus (Dromaius novaehollandiae)",Birds,"Live ostrich, adult (Struthio camelus)"
010633,0106,"Birds; live, ostriches; emus (Dromaius novaehollandiae)",Birds,"Live ostrich chick, unsexed"
010633,0106,"Birds; live, ostriches; emus (Dromaius novaehollandiae)",Birds,"Live emu (Dromaius novaehollandiae), juvenile"
010639,0106,"Birds; live, other than birds of prey, Psittaciformes, ostriches and emus (Dromaius novaehollandiae)",Birds,"Live quail, adult"
010639,0106,"Birds; live, other than birds of prey, Psittaciformes, ostriches and emus (Dromaius novaehollandiae)",Birds,"Live songbird species, captive‑bred"
010639,0106,"Birds; live, other than birds of prey, Psittaciformes, ostriches and emus (Dromaius novaehollandiae)",Birds,"Live pigeon, adult (non‑raptor, non‑psittacine)"
010641,0106,"Insects; live, bees",Insects,"Live worker bees, packaged for apiary"
010641,0106,"Insects; live, bees",Insects,"Live queen honey bee, mated"
010641,0106,"Insects; live, bees",Insects,Live honey bee colony (Apis mellifera) nucleus
010649,0106,"Insects; live, other than bees",Insects,Live beneficial predatory insect species
010649,0106,"Insects; live, other than bees",Insects,"Live leaf‑cutter ant colony, captive"
010649,0106,"Insects; live, other than bees",Insects,Live silk moth larvae (Bombyx mori)
010690,0106,"Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects",Other Animals,Live starfish for aquarium use
010690,0106,"Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects",Other Animals,"Live aquatic invertebrate species, trade specimen"
010690,0106,"Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects",Other Animals,"Live sea urchin specimen (non‑mammal, non‑bird)"
020110,0201,"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled",Bovine Meat,Fresh chilled cattle half‑carcass with visible fat trim
020110,0201,"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled",Bovine Meat,"Fresh chilled bovine carcass, head removed"
020110,0201,"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled",Bovine Meat,"Fresh chilled bovine carcass, halved"
020120,0201,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",Bovine Meat,Fresh chilled beef shank with bone
020120,0201,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",Bovine Meat,Fresh chilled rib cut with bone in
020120,0201,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",Bovine Meat,Fresh chilled beef cut with bone in (forequarter)
020130,0201,"Meat; of bovine animals, boneless cuts, fresh or chilled",Bovine Meat,Fresh chilled boneless beef sirloin cut
020130,0201,"Meat; of bovine animals, boneless cuts, fresh or chilled",Bovine Meat,Fresh chilled boneless beef rump roast
020130,0201,"Meat; of bovine animals, boneless cuts, fresh or chilled",Bovine Meat,Fresh chilled boneless beef ribeye
020210,0202,"Meat; of bovine animals, carcasses and half-carcasses, frozen",Bovine Meat,"Frozen beef carcass, chilled previously then frozen"
020210,0202,"Meat; of bovine animals, carcasses and half-carcasses, frozen",Bovine Meat,"Frozen bovine carcass, halved"
020210,0202,"Meat; of bovine animals, carcasses and half-carcasses, frozen",Bovine Meat,Frozen cattle carcass with bone in
020220,0202,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen",Bovine Meat,Frozen bone‑in beef chuck
020220,0202,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen",Bovine Meat,Frozen beef short ribs with bone
020220,0202,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen",Bovine Meat,Frozen beef cut with bone in (hindquarter)
020230,0202,"Meat; of bovine animals, boneless cuts, frozen",Bovine Meat,Frozen boneless beef rump
020230,0202,"Meat; of bovine animals, boneless cuts, frozen",Bovine Meat,Frozen boneless beef tenderloin
020230,0202,"Meat; of bovine animals, boneless cuts, frozen",Bovine Meat,"Frozen boneless beef brisket, trimmed"
020311,0203,"Meat; of swine, carcasses and half-carcasses, fresh or chilled",Swine Meat,Fresh chilled pig half‑carcass
020311,0203,"Meat; of swine, carcasses and half-carcasses, fresh or chilled",Swine Meat,"Fresh chilled swine carcass, halved"
020311,0203,"Meat; of swine, carcasses and half-carcasses, fresh or chilled",Swine Meat,Fresh chilled pork carcass with head removed
020312,0203,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled",Swine Meat,Fresh chilled bone‑in pork loin
020312,0203,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled",Swine Meat,Fresh chilled pork shoulder with bone
020312,0203,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled",Swine Meat,Fresh chilled pork ham with bone in
020319,0203,"Meat; of swine, n.e.c. in item no. 0203.1, fresh or chilled",Swine Meat,Fresh chilled offal from swine (edible)
020319,0203,"Meat; of swine, n.e.c. in item no. 0203.1, fresh or chilled",Swine Meat,"Fresh chilled trimmed pork cuts, boneless"
020319,0203,"Meat; of swine, n.e.c. in item no. 0203.1, fresh or chilled",Swine Meat,Fresh chilled pork belly (other cuts)
020321,0203,"Meat; of swine, carcasses and half-carcasses, frozen",Swine Meat,"Frozen pig carcass, trimmed"
020321,0203,"Meat; of swine, carcasses and half-carcasses, frozen",Swine Meat,Frozen pork carcass with bone in
020321,0203,"Meat; of swine, carcasses and half-carcasses, frozen",Swine Meat,"Frozen swine carcass, halved"
020322,0203,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, frozen",Swine Meat,Frozen bone‑in pork hams
020322,0203,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, frozen",Swine Meat,Frozen bone‑in pork loin
020322,0203,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, frozen",Swine Meat,Frozen bone‑in pork shoulders
020329,0203,"Meat; of swine, n.e.c. in item no. 0203.2, frozen",Swine Meat,"Frozen pork offal (edible), frozen"
020329,0203,"Meat; of swine, n.e.c. in item no. 0203.2, frozen",Swine Meat,"Frozen trimmed pork belly, boneless"
020329,0203,"Meat; of swine, n.e.c. in item no. 0203.2, frozen",Swine Meat,Frozen boneless pork cuts (assorted)
020410,0204,"Meat; of sheep, lamb carcasses and half-carcasses, fresh or chilled",Sheep Meat,Fresh chilled lamb carcass with minimal fat
020410,0204,"Meat; of sheep, lamb carcasses and half-carcasses, fresh or chilled",Sheep Meat,"Fresh chilled lamb carcass, halved"
020410,0204,"Meat; of sheep, lamb carcasses and half-carcasses, fresh or chilled",Sheep Meat,"Fresh chilled lamb carcass, whole"
020421,0204,"Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), fresh or chilled",Sheep Meat,Fresh chilled adult sheep half‑carcass
020421,0204,"Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), fresh or chilled",Sheep Meat,"Fresh chilled mutton carcass, whole"
020421,0204,"Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), fresh or chilled",Sheep Meat,"Fresh chilled sheep carcass (adult), halved"
020422,0204,"Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",Sheep Meat,Fresh chilled bone‑in leg of lamb
020422,0204,"Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",Sheep Meat,Fresh chilled lamb cut with bone in (rack)
020422,0204,"Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",Sheep Meat,Fresh chilled mutton shoulder with bone
020423,0204,"Meat; of sheep (including lamb), boneless cuts, fresh or chilled",Sheep Meat,Fresh chilled boneless lamb breast
020423,0204,"Meat; of sheep (including lamb), boneless cuts, fresh or chilled",Sheep Meat,Fresh chilled boneless lamb leg
020423,0204,"Meat; of sheep (including lamb), boneless cuts, fresh or chilled",Sheep Meat,Fresh chilled boneless lamb shoulder
020430,0204,"Meat; of sheep, lamb carcasses and half-carcasses, frozen",Sheep meat,"Frozen lamb carcass, trimmed"
020430,0204,"Meat; of sheep, lamb carcasses and half-carcasses, frozen",Sheep meat,"Frozen lamb half-carcass, bone-in"
020430,0204,"Meat; of sheep, lamb carcasses and half-carcasses, frozen",Sheep meat,"Frozen lamb carcass, whole"
020441,0204,"Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), frozen",Sheep meat,"Frozen mutton half-carcass, bone-in"
020441,0204,"Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), frozen",Sheep meat,"Frozen mutton carcass, whole"
020441,0204,"Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), frozen",Sheep meat,"Frozen adult sheep carcass, trimmed"
020442,0204,"Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), frozen",Sheep cuts,"Frozen sheep leg, bone-in"
020442,0204,"Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), frozen",Sheep cuts,"Frozen shoulder of mutton, bone-in"
020442,0204,"Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), frozen",Sheep cuts,"Frozen rack of lamb, bone-in"
020443,0204,"Meat; of sheep (including lamb), boneless cuts, frozen",Sheep cuts,Frozen boneless lamb leg
020443,0204,"Meat; of sheep (including lamb), boneless cuts, frozen",Sheep cuts,Frozen boneless shoulder of mutton
020443,0204,"Meat; of sheep (including lamb), boneless cuts, frozen",Sheep cuts,Frozen boneless lamb loin
020450,0204,"Meat; of goats, fresh, chilled or frozen",Goat meat,"Chilled goat cuts, bone-in"
020450,0204,"Meat; of goats, fresh, chilled or frozen",Goat meat,"Fresh goat carcass, whole"
020450,0204,"Meat; of goats, fresh, chilled or frozen",Goat meat,"Frozen goat shoulder, boneless"
020500,0205,"Meat; of horses, asses, mules or hinnies, fresh, chilled or frozen",Horse meat,"Fresh horse carcass, whole"
020500,0205,"Meat; of horses, asses, mules or hinnies, fresh, chilled or frozen",Horse meat,"Frozen horse loin, boneless"
020500,0205,"Meat; of horses, asses, mules or hinnies, fresh, chilled or frozen",Horse meat,Chilled horse hindquarter cuts
020610,0206,"Offal, edible; of bovine animals, fresh or chilled",Bovine offal,Fresh bovine kidneys
020610,0206,"Offal, edible; of bovine animals, fresh or chilled",Bovine offal,Fresh bovine offal mix (edible)
020610,0206,"Offal, edible; of bovine animals, fresh or chilled",Bovine offal,Chilled bovine tripe
020621,0206,"Offal, edible; of bovine animals, tongues, frozen",Bovine tongues,"Frozen beef tongue, salted"
020621,0206,"Offal, edible; of bovine animals, tongues, frozen",Bovine tongues,"Frozen bovine tongue, whole"
020621,0206,"Offal, edible; of bovine animals, tongues, frozen",Bovine tongues,"Frozen beef tongue, trimmed"
020622,0206,"Offal, edible; of bovine animals, livers, frozen",Bovine livers,"Frozen beef liver, trimmed"
020622,0206,"Offal, edible; of bovine animals, livers, frozen",Bovine livers,"Frozen bovine liver, whole"
020622,0206,"Offal, edible; of bovine animals, livers, frozen",Bovine livers,"Frozen beef liver, sliced"
020629,0206,"Offal, edible; of bovine animals, (other than tongues and livers), frozen",Bovine offal,Frozen bovine heart
020629,0206,"Offal, edible; of bovine animals, (other than tongues and livers), frozen",Bovine offal,Frozen bovine tripe
020629,0206,"Offal, edible; of bovine animals, (other than tongues and livers), frozen",Bovine offal,Frozen bovine kidneys
020630,0206,"Offal, edible; of swine, fresh or chilled",Swine offal,Chilled pork ears
020630,0206,"Offal, edible; of swine, fresh or chilled",Swine offal,Fresh pork offal mix (edible)
020630,0206,"Offal, edible; of swine, fresh or chilled",Swine offal,Fresh pork stomach
020641,0206,"Offal, edible; of swine, livers, frozen",Swine livers,"Frozen pork liver, trimmed"
020641,0206,"Offal, edible; of swine, livers, frozen",Swine livers,"Frozen pork liver, sliced"
020641,0206,"Offal, edible; of swine, livers, frozen",Swine livers,"Frozen pork liver, whole"
020649,0206,"Offal, edible; of swine, (other than livers), frozen",Swine offal,Frozen pork kidneys
020649,0206,"Offal, edible; of swine, (other than livers), frozen",Swine offal,Frozen pork tongues
020649,0206,"Offal, edible; of swine, (other than livers), frozen",Swine offal,Frozen pork heart
020680,0206,"Offal, edible; of sheep, goats, horses, asses, mules or hinnies, fresh or chilled",Mixed offal,Chilled goat edible offal
020680,0206,"Offal, edible; of sheep, goats, horses, asses, mules or hinnies, fresh or chilled",Mixed offal,Fresh sheep edible offal
020680,0206,"Offal, edible; of sheep, goats, horses, asses, mules or hinnies, fresh or chilled",Mixed offal,Fresh equine edible offal
020690,0206,"Offal, edible; of sheep, goats, horses, asses, mules or hinnies, frozen",Mixed offal,Frozen sheep edible offal
020690,0206,"Offal, edible; of sheep, goats, horses, asses, mules or hinnies, frozen",Mixed offal,Frozen equine edible offal
020690,0206,"Offal, edible; of sheep, goats, horses, asses, mules or hinnies, frozen",Mixed offal,Frozen goat edible offal
020711,0207,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, fresh or chilled",Poultry meat,"Fresh whole chicken, defeathered"
020711,0207,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, fresh or chilled",Poultry meat,"Fresh whole chicken, not cut"
020711,0207,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, fresh or chilled",Poultry meat,"Chilled whole broiler, head-off"
020712,0207,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen",Poultry meat,"Frozen whole chicken, not cut"
020712,0207,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen",Poultry meat,"Frozen whole broiler, head-off"
020712,0207,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen",Poultry meat,"Frozen whole chicken, eviscerated"
020713,0207,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled",Poultry cuts,"Chilled chicken thighs, bone-in"
020713,0207,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled",Poultry cuts,"Fresh chicken breasts, bone-out"
020713,0207,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled",Poultry cuts,"Fresh chicken wings, jointed"
020714,0207,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",Poultry cuts,"Frozen chicken breasts, boneless"
020714,0207,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",Poultry cuts,"Frozen chicken thighs, bone-in"
020714,0207,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen",Poultry cuts,Frozen chicken drumsticks
020724,0207,"Meat and edible offal; of turkeys, not cut in pieces, fresh or chilled",Turkey meat,"Chilled whole turkey, eviscerated"
020724,0207,"Meat and edible offal; of turkeys, not cut in pieces, fresh or chilled",Turkey meat,"Fresh turkey, neck-included"
020724,0207,"Meat and edible offal; of turkeys, not cut in pieces, fresh or chilled",Turkey meat,"Fresh whole turkey, not cut"
020725,0207,"Meat and edible offal; of turkeys, not cut in pieces, frozen",Turkey meat,"Frozen turkey, head-off"
020725,0207,"Meat and edible offal; of turkeys, not cut in pieces, frozen",Turkey meat,"Frozen whole turkey, not cut"
020725,0207,"Meat and edible offal; of turkeys, not cut in pieces, frozen",Turkey meat,"Frozen whole turkey, eviscerated"
020726,0207,"Meat and edible offal; of turkeys, cuts and offal, fresh or chilled",Turkey cuts,"Fresh turkey wings, jointed"
020726,0207,"Meat and edible offal; of turkeys, cuts and offal, fresh or chilled",Turkey cuts,"Chilled turkey legs, bone-in"
020726,0207,"Meat and edible offal; of turkeys, cuts and offal, fresh or chilled",Turkey cuts,"Fresh turkey breasts, boneless"
020727,0207,"Meat and edible offal; of turkeys, cuts and offal, frozen",Turkey cuts,Frozen turkey wings
020727,0207,"Meat and edible offal; of turkeys, cuts and offal, frozen",Turkey cuts,"Frozen turkey legs, bone-in"
020727,0207,"Meat and edible offal; of turkeys, cuts and offal, frozen",Turkey cuts,"Frozen turkey breasts, boneless"
020741,0207,"Meat and edible offal; of ducks, not cut in pieces, fresh or chilled",Duck meat,"Fresh duck, head-off"
020741,0207,"Meat and edible offal; of ducks, not cut in pieces, fresh or chilled",Duck meat,"Fresh whole duck, not cut"
020741,0207,"Meat and edible offal; of ducks, not cut in pieces, fresh or chilled",Duck meat,"Chilled whole duck, eviscerated"
020742,0207,"Meat and edible offal; of ducks, not cut in pieces, frozen",Duck meat,"Frozen duck, head-off"
020742,0207,"Meat and edible offal; of ducks, not cut in pieces, frozen",Duck meat,"Frozen whole duck, not cut"
020742,0207,"Meat and edible offal; of ducks, not cut in pieces, frozen",Duck meat,"Frozen whole duck, eviscerated"
020743,0207,"Meat and edible offal; of ducks, fatty livers (foie gras), fresh or chilled",Duck foie,Fresh duck fatty liver (foie gras)
020743,0207,"Meat and edible offal; of ducks, fatty livers (foie gras), fresh or chilled",Duck foie,"Chilled foie gras, whole lobe"
020743,0207,"Meat and edible offal; of ducks, fatty livers (foie gras), fresh or chilled",Duck foie,"Fresh foie gras, graded"
020744,0207,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, fresh or chilled",Duck cuts,"Fresh duck breast, bone-in (non‑foie)"
020744,0207,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, fresh or chilled",Duck cuts,"Chilled duck legs, bone-in"
020744,0207,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, fresh or chilled",Duck cuts,"Fresh duck thigh, trimmed"
020745,0207,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, frozen",Duck cuts,"Frozen duck legs, bone-in"
020745,0207,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, frozen",Duck cuts,"Frozen duck thigh, trimmed"
020745,0207,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, frozen",Duck cuts,"Frozen duck breast, bone-in"
020751,0207,"Meat and edible offal; of geese, not cut in pieces, fresh or chilled",Goose meat,"Chilled whole goose, eviscerated"
020751,0207,"Meat and edible offal; of geese, not cut in pieces, fresh or chilled",Goose meat,"Fresh whole goose, not cut"
020751,0207,"Meat and edible offal; of geese, not cut in pieces, fresh or chilled",Goose meat,"Fresh goose, neck-included"
020752,0207,"Meat and edible offal; of geese, not cut in pieces, frozen",Goose meat,"Frozen goose, head-off"
020752,0207,"Meat and edible offal; of geese, not cut in pieces, frozen",Goose meat,"Frozen whole goose, eviscerated"
020752,0207,"Meat and edible offal; of geese, not cut in pieces, frozen",Goose meat,"Frozen whole goose, not cut"
020753,0207,"Meat and edible offal; of geese, fatty livers (foie gras), fresh or chilled",Goose foie,"Chilled goose foie gras, whole lobe"
